Section,Transect,Site ID,DaltonHwy_MilePoint,Dist_to_Road_m,Side_of_Road,GMU,ShrubsSampled,ShrubsBrowsed,ShrubsBrowsed_Moose,ShrubsBrowsed_Hare,ShrubsBrowsed_Ptarmagin,Moose_Feces_Count,Hare_Feces_  Count,Ptarmagin_Feces_Count,Avg_StemLength,Avg_VertHeight,Avg_CanopyCover,GIS_Veg_Cover_Coarse,GIS_Veg_Cover_Fine,Observed_Veg_Cover_Coarse,SoilTexture,SoilMoisture,Elevation,Aspect,Slope,X_Cord,Y_Cord,Last Burn
1,4,60-4,60,1406.2,West,20F,8,6,4,5,,,1,,84.5,,10.63,Tall Shrub (Open-Closed),Tall Shrub,Black Spruce Woodland,Silt Loam,Mesic,110.670654,252,1.181915,-149.840942,65.910317,0
1,3,60-3,60,1403.2,West,20F,8,5,5,3,,,3,,98.6,,12.75,Low Shrub,Low Betula nana-Low Willow,Black Spruce Woodland,Silt Loam,Mesic,111.24585,78,1.323723,-149.840194,65.910114,0
1,2,60-2,60,1432.7,West,20F,8,5,4,4,,,2,,101.6,,7.88,Low Shrub,Low Betula nana-Low Willow,Low Shrub,Silt Loam,Mesic,110.927505,264,1.953402,-149.84073,65.909949,0
1,1,60-1,60,1438.6,West,20F,5,5,1,5,,,1,,114.4,,2.60,Low Shrub,Low Betula nana-Low Willow,Low Shrub-Tussock Tundra,Silt Loam,Mesic,110.943649,215,1.507567,-149.840126,65.909691,0
2,4,72-4,72,844.3,West,20F,8,2,1,2,,,,,93.6,56.875,0.00,Tussock Tundra (Low shrub or Herbaceous),Low Shrub-Tussock Tundra,Low Shrub-Tussock Tundra,Clay Loam,Mesic,132.260803,156,1.029158,-150.139994,66.023305,0
2,3,72-3,72,885.4,West,20F,7,2,,2,,,1,,93.9,65.85714286,2.86,Tussock Tundra (Low shrub or Herbaceous),Low Shrub-Tussock Tundra,Black Spruce Woodland,Clay Loam,Mesic,132.401993,119,2.284806,-150.140609,66.023021,0
2,2,72-2,72,855.9,West,20F,8,2,,2,,,,,113.3,81.375,6.88,Tussock Tundra (Low shrub or Herbaceous),Low Shrub-Tussock Tundra,Black Spruce Woodland,Clay Loam,Mesic,131.055786,179,2.125059,-150.13956,66.022889,0
2,1,72-1,72,895.9,West,20F,8,5,1,4,,,,,83.6,64.875,11.25,Tussock Tundra (Low shrub or Herbaceous),Low Shrub-Tussock Tundra,Black Spruce Woodland,Clay Loam,Mesic,130.808105,148,1.606934,-150.14017,66.022623,0
3,4,86-4,86,1074.7,West,20F,9,4,4,,,2,,,122.6,,9.44,Low Shrub,Low Betula nana-Low Willow,Tall Shrub,Gravely Sand Loam,Mesic - Xeric,575.689697,64,9.57597,-150.278532,66.213405,0
3,3,86-3,86,1057.3,West,20F,12,2,2,,,,,1,124.3,,8.08,Tall Shrub (Open-Closed),Tall Shrub,Tall Shrub,Gravely Sand Loam,Mesic - Xeric,571.701965,63,9.459789,-150.277761,66.213303,0
