ShrubID,Section,SiteID,Species,StemLength,StemHeight,StemDiam,CanopyCover,Moose,Hare,Ptarmagin,Total,PropMoose,PropHare,PropPtarmagin,BinaryBrowse,DistToRoad,RoadSide,GMU,VegCoverGIS,VegCoverOBS,SoilText,SoilMoist,LastBurn,Elevation,Aspect,Slope,X_Cord,Y_Cord
60-1-A-BENA,1,60-1,BENA,121,,11,3,,2,,23,,0.086956522,,1,1438.56091,West,20F,Low Shrub,Low Shrub-Tussock Tundra,Silt Loam,Mesic,0,110.943649,215,1.507567,-149.840126,65.909691
60-1-B-BENA,1,60-1,BENA,129,,14,0,,4,,32,,0.125,,1,1438.56091,West,20F,Low Shrub,Low Shrub-Tussock Tundra,Silt Loam,Mesic,0,110.943649,215,1.507567,-149.840126,65.909691
60-1-B-SAPU,1,60-1,SAPU,98,,10,10,,1,,41,,0.024390244,,1,1438.56091,West,20F,Low Shrub,Low Shrub-Tussock Tundra,Silt Loam,Mesic,0,110.943649,215,1.507567,-149.840126,65.909691
60-2-A-BENA,1,60-2,BENA,89,,9,0,,,,10,,,,0,1432.670461,West,20F,Low Shrub,Low Shrub,Silt Loam,Mesic,0,110.927505,264,1.953402,-149.84073,65.909949
60-2-C-SAPU,1,60-2,SAPU,76,,8,17,3,,,12,0.25,,,1,1432.670461,West,20F,Low Shrub,Low Shrub,Silt Loam,Mesic,0,110.927505,264,1.953402,-149.84073,65.909949
60-2-D-BENA,1,60-2,BENA,102,,7,0,,,,18,,,,0,1432.670461,West,20F,Low Shrub,Low Shrub,Silt Loam,Mesic,0,110.927505,264,1.953402,-149.84073,65.909949
60-2-D-SAPU,1,60-2,SAPU,84,,16,7,2,1,,26,0.076923077,0.038461538,,1,1432.670461,West,20F,Low Shrub,Low Shrub,Silt Loam,Mesic,0,110.927505,264,1.953402,-149.84073,65.909949
60-3-A-BENA,1,60-3,BENA,83,,8,11,,,,15,,,,0,1403.187226,West,20F,Low Shrub,Black Spruce Woodland,Silt Loam,Mesic,0,111.24585,78,1.323723,-149.840194,65.910114
60-3-A-SAPU,1,60-3,SAPU,139,,17,32,2,2,,54,0.037037037,0.037037037,,1,1403.187226,West,20F,Low Shrub,Black Spruce Woodland,Silt Loam,Mesic,0,111.24585,78,1.323723,-149.840194,65.910114
60-3-B-SAPU,1,60-3,SAPU,81,,8,22,,,,16,,,,0,1403.187226,West,20F,Low Shrub,Black Spruce Woodland,Silt Loam,Mesic,0,111.24585,78,1.323723,-149.840194,65.910114
60-3-D-BENA,1,60-3,BENA,101,,8,0,,,,12,,,,0,1403.187226,West,20F,Low Shrub,Black Spruce Woodland,Silt Loam,Mesic,0,111.24585,78,1.323723,-149.840194,65.910114
60-4-A-BENA,1,60-4,BENA,92,,7,13,,,,13,,,,0,1406.241796,West,20F,Tall Shrub (Open-Closed),Black Spruce Woodland,Silt Loam,Mesic,0,110.670654,252,1.181915,-149.840942,65.910317
60-4-A-SAPU,1,60-4,SAPU,88,,10,8,1,2,,23,0.043478261,0.086956522,,1,1406.241796,West,20F,Tall Shrub (Open-Closed),Black Spruce Woodland,Silt Loam,Mesic,0,110.670654,252,1.181915,-149.840942,65.910317
60-4-B-BENA,1,60-4,BENA,95,,9,0,,2,,9,,0.222222222,,1,1406.241796,West,20F,Tall Shrub (Open-Closed),Black Spruce Woodland,Silt Loam,Mesic,0,110.670654,252,1.181915,-149.840942,65.910317
60-4-D-SAPU,1,60-4,SAPU,103,,15,13,1,4,,35,0.028571429,0.114285714,,1,1406.241796,West,20F,Tall Shrub (Open-Closed),Black Spruce Woodland,Silt Loam,Mesic,0,110.670654,252,1.181915,-149.840942,65.910317
72-1-A-SAPU,2,72-1,SAPU,91,87,15,19,,6,,15,,0.4,,1,895.937772,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,130.808105,148,1.606934,-150.14017,66.022623
72-1-C-BENA,2,72-1,BENA,118,71,9,0,,2,,11,,0.181818182,,1,895.937772,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,130.808105,148,1.606934,-150.14017,66.022623
72-1-C-SAGL,2,72-1,SAGL,112,103,13,11,1,,,16,0.0625,,,1,895.937772,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,130.808105,148,1.606934,-150.14017,66.022623
72-1-D-BENA,2,72-1,BENA,65,41,8,7,,,,4,,,,0,895.937772,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,130.808105,148,1.606934,-150.14017,66.022623
72-1-D-SAPU,2,72-1,SAPU,68,54,18,0,,1,,8,,0.125,,1,895.937772,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,130.808105,148,1.606934,-150.14017,66.022623
72-2-A-BENA,2,72-2,BENA,121,72,12,21,,,,14,,,,0,855.94066,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,131.055786,179,2.125059,-150.13956,66.022889
72-2-A-SAGL,2,72-2,SAGL,129,121,17,0,,,,12,,,,0,855.94066,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,131.055786,179,2.125059,-150.13956,66.022889
72-2-B-BENA,2,72-2,BENA,104,67,9,0,,1,,5,,0.2,,1,855.94066,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,131.055786,179,2.125059,-150.13956,66.022889
72-2-C-SAPU,2,72-2,SAPU,97,84,22,5,,,,22,,,,0,855.94066,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,131.055786,179,2.125059,-150.13956,66.022889
72-2-D-SAPU,2,72-2,SAPU,79,60,21,0,,,,11,,,,0,855.94066,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,131.055786,179,2.125059,-150.13956,66.022889
72-3-A-SAGL,2,72-3,SAGL,122,114,14,7,,1,,15,,0.066666667,,1,885.368743,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,132.401993,119,2.284806,-150.140609,66.023021
72-3-B-SAPU,2,72-3,SAPU,75,59,20,4,,,,12,,,,0,885.368743,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,132.401993,119,2.284806,-150.140609,66.023021
72-3-C-BENA,2,72-3,BENA,65,39,9,0,,,,4,,,,0,885.368743,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,132.401993,119,2.284806,-150.140609,66.023021
72-3-D-BENA,2,72-3,BENA,104,47,11,0,,,,9,,,,0,885.368743,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,132.401993,119,2.284806,-150.140609,66.023021
