,ALVI,,,,BENA,,,,SALIX,,,,SABE,,,,SAGL,,,,SAPU,,
Mean,0.005,0.045,0.001,,0.005,0.013,0.005,,0.059,0.045,0.075,,0.073,0,0,,0.015,0.207,0.071,,0.063,0.030,0.080
,,,,,,,,,,,,,,,,,,,,,,,
Median,0,0,0,Median,0,0,0,Median,0.009,0.009,0,Median,0.073,0,0,Median,0.016,0.037,0.045,Median,0.008,0.009,0
Q1,0,0,0,Q1,0,0,0,Q1,0,0,0,Q1,0.073,0,0,Q1,0.000,0.006,0.000,Q1,0,0,0
Q3,0.008,0.008,0,Q3,0.001,0.018,0,Q3,0.069,0.040,0.097,Q3,0.073,0,0,Q3,0.017,0.126,0.173,Q3,0.062,0.040,0.099
IQR,0.008,0.008,0,IQR,0.001,0.018,0,IQR,0.069,0.040,0.097,IQR,0,0,0,IQR,0.017,0.120,0.173,IQR,0.062,0.040,0.099
,,,,,,,,,,,,,,,,,,,,,,,
Section,Mean Moose BI,Mean Hare BI,Mean Ptarmigan BI,Section,Mean Moose BI,Mean Hare BI,Mean Ptarmigan BI,Section,Mean Moose BI,Mean Hare BI,Mean Ptarmigan BI,Section,Mean Moose BI,Mean Hare BI,Mean Ptarmigan BI,Section,Mean Moose BI,Mean Hare BI,Mean Ptarmigan BI,Section,Mean Moose BI,Mean Hare BI,Mean Ptarmigan BI
86,0.004,0,0,60,0.019,0.063,0,60,0.072,0.054,0,86,0.073,0,0,72,0.016,0.067,0,60,0.072,0.054,0
97,0,0,0,72,0,0.024,0,72,0.010,0.077,0,,,,,158,0,0,0.091,72,0.008,0.081,0
102,0,0,0.019,86,0.001,0,0,86,0.073,0,0,,,,,222,0.020,0.304,0,97,0,0,0.051
111,0,0,0,97,0,0,0,97,0,0,0.051,,,,,255,0,0.008,0.419,102,0.027,0,0.129
121,0,0,0,102,0,0,0.023,102,0.027,0,0.129,,,,,,,,,111,0,0,0
129,0,0.011,0,111,0,0,0,111,0,0,0,,,,,,,,,129,0,0,0
147,0.068,0.043,0,121,0.001,0,0,129,0,0,0,,,,,,,,,147,0.277,0.019,0
151,0.004,0,0,129,0,0,0,147,0.277,0.019,0,,,,,,,,,151,0,0,0
158,0,0,0.016,147,0.058,0.027,0,151,0,0,0,,,,,,,,,158,0,0,0.094
173,0.007,0,0,151,0,0,0,158,0,0,0.093,,,,,,,,,173,0.167,0,0
184,0.060,0,0,158,0,0,0.031,173,0.167,0,0,,,,,,,,,184,0.127,0.040,0
191,0,0.003,0,173,0,0,0,184,0.127,0.040,0,,,,,,,,,191,0.250,0.009,0
203,0.010,0.007,0,184,0.022,0.032,0,191,0.250,0.009,0,,,,,,,,,203,0.058,0.039,0
209,0,0.003,0,191,0.005,0.012,0,203,0.058,0.039,0,,,,,,,,,209,0.008,0.009,0.020
222,0.017,0.294,0,203,0.023,0.008,0,209,0.008,0.009,0.020,,,,,,,,,235,0,0.164,0.102
