Section,DaltonHwy_MilePoint,Dist_to_Road_m,Side_of_Road,GMU,ShrubsSampled,Twigs,TwigsBrowsed,Prop_TwigsBrowsed,TwigsBrowsed_Moose,Prop_MooseBrowse,Moose_Feces_Count,TwigsBrowsed_Hare,Prop_HareBrowse,Hare_Feces_  Count,TwigsBrowsed_Ptarmagin,Prop_PtarmaginBrowse,Ptarmagin_Feces_Count,Avg_StemLength,Avg_VertHeight,Avg_Stem_Diameter,Avg_CanopyCover,Observed_Veg_Cover_Coarse,SoilTexture,SoilMoisture,Elevation,Aspect,Slope,X_Cord,Y_Cord,Last Burn
1,60,1418.262083,West,20F,29,661,68,0.102874433,27,0.040847201,,41,0.062027231,8,,,,98.27586207,,11.24137931,9.068965517,Low Shrub,Silt Loam,Mesic,110.9472523,200.9310345,1.490005345,-149.8405365,65.91005155,
2,72,869.8920932,West,20F,31,326,20,0.061349693,2,0.006134969,,18,0.055214724,3,,,,96.16129032,67.29032258,12.09677419,5.322580645,Black Spruce Woodland,Clay Loam,Mesic,131.6068227,151.516129,1.744608065,-150.1400663,66.02295752,
3,86,1072.539257,West,20F,42,2012,22,0.010934394,22,0.010934394,6,,,,,,,124.4761905,,19.45238095,8.952380952,Tall Shrub,Gravely Sand Loam,Mesic - Xeric,573.6807294,62.35714286,9.076461929,-150.2778588,66.21314614,
4,97,909.0811906,East,24A,35,790,12,0.015189873,,,1,,,,12,0.015189873,1,130.7142857,104,20.28571429,11,Low Shrub,Gravely Sand Loam,Mesic,558.2763498,67.74285714,6.125974629,-150.4326799,66.348985,2004
5,102,956.6353872,West,24A,39,1057,100,0.094607379,16,0.015137181,,,,,84,0.079470199,1,104.7435897,,16.66666667,2.358974359,Low Shrub,Sandy Loam,Mesic,425.3829065,334.4102564,4.021423231,-150.5658239,66.40109062,2004
6,111,675.0065318,West,24A,33,758,0,,,,,,,,,,,112.5454545,85.03030303,23.54545455,11.24242424,Low Shrub,Gravely Sand Loam,Mesic,513.9645533,177.6969697,8.043777303,-150.7375255,66.49845006,
7,121,1368.85868,East,24A,26,668,1,0.001497006,1,0.001497006,1,,,,,,1,106.6538462,76.5,19.03846154,4.230769231,Low Shrub,Clay Loam,Mesic,464.88993,58.26923077,7.095670885,-150.6758965,66.59937631,2005
8,129,1018.179251,East,24A,28,513,2,0.003898635,,,,2,0.003898635,,,,,122.7857143,92.60714286,20.53571429,8.321428571,Low Shrub,Sandy Loam,Mesic - Hydric,303.3683213,352.3571429,6.166148357,-150.6470949,66.70989261,2005
9,147,968.4900564,West,24A,31,868,187,0.215437788,171,0.197004608,8,16,0.01843318,4,,,,131.1290323,99.64516129,15.03225806,22.29032258,Tall Shrub,Clay Loam,Mesic - Hydric,427.4711638,147.3225806,7.656907419,-150.4845349,66.91199448,
10,151,718.8226229,East,24A,33,412,1,0.002427184,1,0.002427184,1,,,,,,,113.0909091,85.54545455,19.39393939,3.454545455,Low Shrub,Clay Loam,Mesic,477.6657693,298.8181818,23.57070779,-150.3620038,66.95845715,
11,159,1296.228397,East,24A,32,1091,68,0.062328139,,,,,,,68,0.062328139,1,115.78125,81.75,17.875,6.9375,Low Shrub,Sandy Loam,Mesic - Xeric,586.2948914,52.3125,14.46594388,-150.2858895,67.04690744,2005
12,174,1304.231627,East,24A,36,569,55,0.096660808,55,0.096660808,4,,,,,,,105.0555556,78.22222222,16.61111111,7.527777778,Low Shrub,Clay Loam,Mesic,347.9445973,187.1944444,2.364202722,-150.1912535,67.22853353,
13,185,695.7489231,East,24A,31,748,91,0.121657754,67,0.089572193,10,24,0.032085561,6,,,,121.8064516,86.19354839,17.61290323,8.741935484,Tall Shrub,Clay Loam,Mesic,427.0525879,256.9677419,13.53000187,-150.1094892,67.36920197,
14,196,1617.689721,East,24A,43,936,118,0.126068376,111,0.118589744,5,7,0.007478632,,,,,118.372093,92.93023256,15,14.48837209,Low Shrub,Clay Loam,Mesic,494.8683429,288.5116279,3.035096558,-149.859641,67.47584574,
15,203,928.0237862,East,24A,39,816,41,0.050245098,25,0.030637255,4,16,0.019607843,3,,,,110.5897436,75.38461538,13.92307692,8.743589744,Low Shrub,Loam,Mesic,560.6612595,304.8717949,25.72243874,-149.7936522,67.57158026,
16,209,719.7954351,East,24A,44,559,10,0.017889088,1,0.001788909,1,5,0.008944544,5,4,0.007155635,1,86.20454545,67.31818182,14.63636364,6.659090909,Black Spruce Woodland,Sandy Loam,Mesic - Xeric,557.6391976,286.5,19.38285509,-149.6924298,67.65614784,
17,222,785.9469075,East,24A,45,813,222,0.273062731,11,0.013530135,13,211,0.259532595,41,,,,113.8666667,96.17777778,19.8,9.488888889,Low Shrub,Clay Loam,Mesic,673.9817029,281.3777778,15.09461098,-149.8089365,67.82645469,
18,236,493.798698,East,24A,48,1087,181,0.166513339,,,,153,0.14075437,6,28,0.02575897,,86.02083333,68.125,17.66666667,9.833333333,Low Shrub,Sandy Gravel,Mesic,821.159073,293.75,21.49460675,-149.726714,68.00510375,
19,242,412.1032161,West,24A,30,788,180,0.228426396,14,0.017766497,,28,0.035532995,4,138,0.175126904,3,86.56666667,55.2,13.93333333,0,Low Shrub,Sandy Loam,Mesic,1042.991292,86.8,23.068836,-149.6064805,68.06997867,
20,256,615.3967465,East,26B,32,669,131,0.195814649,,,,8,0.011958146,2,123,0.183856502,3,61.96875,41.40625,10.90625,0,Low Shrub,Sandy Gravel,Mesic - Xeric,992.0367128,290,3.66150825,-149.3921778,68.2229315,
