Section,ShrubID,SiteID,Species,StemLength,StemHeight,StemDiam,CanopyCover,Twigs,Moose,Hare,Ptarmagin,PropMoose,PropHare,PropPtarmagin,BinaryBrowse,BMoose,BHare,BPtarmagin,DistToRoad,RoadSide,GMU,VegCoverGIS,VegCoverOBS,SoilText,SoilMoist,LastBurn,Elevation,Aspect,Slope,X_Cord,Y_Cord
1,60-1-A-BENA,60-1,BENA,121,,11,3,23,0,2,0,,0.086956522,,1,,Hare,,1438.56091,West,20F,Low Shrub,Low Shrub-Tussock Tundra,Silt Loam,Mesic,0,110.943649,215,1.507567,-149.840126,65.909691
1,60-1-B-BENA,60-1,BENA,129,,14,0,32,0,4,0,,0.125,,1,,Hare,,1438.56091,West,20F,Low Shrub,Low Shrub-Tussock Tundra,Silt Loam,Mesic,0,110.943649,215,1.507567,-149.840126,65.909691
1,60-1-B-SAPU,60-1,SAPU,98,,10,10,41,0,1,0,,0.024390244,,1,,Hare,,1438.56091,West,20F,Low Shrub,Low Shrub-Tussock Tundra,Silt Loam,Mesic,0,110.943649,215,1.507567,-149.840126,65.909691
1,60-1-C-BENA,60-1,BENA,134,,13,0,21,1,4,0,0.047619048,0.19047619,,1,Moose,Hare,,1438.56091,West,20F,Low Shrub,Low Shrub-Tussock Tundra,Silt Loam,Mesic,0,110.943649,215,1.507567,-149.840126,65.909691
1,60-1-D-BENA,60-1,BENA,90,,12,0,33,0,1,0,,0.03030303,,1,,Hare,,1438.56091,West,20F,Low Shrub,Low Shrub-Tussock Tundra,Silt Loam,Mesic,0,110.943649,215,1.507567,-149.840126,65.909691
1,60-2-A-SAPU,60-2,SAPU,76,,12,18,16,0,2,0,,0.125,,1,,Hare,,1432.670461,West,20F,Low Shrub,Low Shrub,Silt Loam,Mesic,0,110.927505,264,1.953402,-149.84073,65.909949
1,60-2-A-BENA,60-2,BENA,89,,9,0,10,0,0,0,,,,,,,,1432.670461,West,20F,Low Shrub,Low Shrub,Silt Loam,Mesic,0,110.927505,264,1.953402,-149.84073,65.909949
1,60-2-B-SAPU,60-2,SAPU,129,,14,0,18,5,2,0,0.277777778,0.111111111,,1,Moose,Hare,,1432.670461,West,20F,Low Shrub,Low Shrub,Silt Loam,Mesic,0,110.927505,264,1.953402,-149.84073,65.909949
1,60-2-B-BENA,60-2,BENA,146,,14,0,34,2,1,0,0.058823529,0.029411765,,1,Moose,Hare,,1432.670461,West,20F,Low Shrub,Low Shrub,Silt Loam,Mesic,0,110.927505,264,1.953402,-149.84073,65.909949
1,60-2-C-BENA,60-2,BENA,111,,13,21,21,0,0,0,,,,,,,,1432.670461,West,20F,Low Shrub,Low Shrub,Silt Loam,Mesic,0,110.927505,264,1.953402,-149.84073,65.909949
1,60-2-C-SAPU,60-2,SAPU,76,,8,17,12,3,0,0,0.25,,,1,Moose,,,1432.670461,West,20F,Low Shrub,Low Shrub,Silt Loam,Mesic,0,110.927505,264,1.953402,-149.84073,65.909949
1,60-2-D-SAPU,60-2,SAPU,84,,16,7,26,2,1,0,0.076923077,0.038461538,,1,Moose,Hare,,1432.670461,West,20F,Low Shrub,Low Shrub,Silt Loam,Mesic,0,110.927505,264,1.953402,-149.84073,65.909949
1,60-2-D-BENA,60-2,BENA,102,,7,0,18,0,0,0,,,,,,,,1432.670461,West,20F,Low Shrub,Low Shrub,Silt Loam,Mesic,0,110.927505,264,1.953402,-149.84073,65.909949
1,60-3-A-SAPU,60-3,SAPU,139,,17,32,54,2,2,0,0.037037037,0.037037037,,1,Moose,Hare,,1403.187226,West,20F,Low Shrub,Black Spruce Woodland,Silt Loam,Mesic,0,111.24585,78,1.323723,-149.840194,65.910114
1,60-3-A-BENA,60-3,BENA,83,,8,11,15,0,0,0,,,,,,,,1403.187226,West,20F,Low Shrub,Black Spruce Woodland,Silt Loam,Mesic,0,111.24585,78,1.323723,-149.840194,65.910114
1,60-3-B-BENA,60-3,BENA,112,,9,19,9,1,0,0,0.111111111,,,1,Moose,,,1403.187226,West,20F,Low Shrub,Black Spruce Woodland,Silt Loam,Mesic,0,111.24585,78,1.323723,-149.840194,65.910114
1,60-3-B-SAPU,60-3,SAPU,81,,8,22,16,0,0,0,,,,,,,,1403.187226,West,20F,Low Shrub,Black Spruce Woodland,Silt Loam,Mesic,0,111.24585,78,1.323723,-149.840194,65.910114
1,60-3-C-BENA,60-3,BENA,99,,12,0,34,3,4,0,0.088235294,0.117647059,,1,Moose,Hare,,1403.187226,West,20F,Low Shrub,Black Spruce Woodland,Silt Loam,Mesic,0,111.24585,78,1.323723,-149.840194,65.910114
1,60-3-C-SAPU,60-3,SAPU,80,,9,0,19,1,0,0,0.052631579,,,1,Moose,,,1403.187226,West,20F,Low Shrub,Black Spruce Woodland,Silt Loam,Mesic,0,111.24585,78,1.323723,-149.840194,65.910114
1,60-3-D-SAPU,60-3,SAPU,94,,18,18,39,1,5,0,0.025641026,0.128205128,,1,Moose,Hare,,1403.187226,West,20F,Low Shrub,Black Spruce Woodland,Silt Loam,Mesic,0,111.24585,78,1.323723,-149.840194,65.910114
1,60-3-D-BENA,60-3,BENA,101,,8,0,12,0,0,0,,,,,,,,1403.187226,West,20F,Low Shrub,Black Spruce Woodland,Silt Loam,Mesic,0,111.24585,78,1.323723,-149.840194,65.910114
1,60-4-A-BENA,60-4,BENA,92,,7,13,13,0,0,0,,,,,,,,1406.241796,West,20F,Tall Shrub (Open-Closed),Black Spruce Woodland,Silt Loam,Mesic,0,110.670654,252,1.181915,-149.840942,65.910317
1,60-4-A-SAPU,60-4,SAPU,88,,10,8,23,1,2,0,0.043478261,0.086956522,,1,Moose,Hare,,1406.241796,West,20F,Tall Shrub (Open-Closed),Black Spruce Woodland,Silt Loam,Mesic,0,110.670654,252,1.181915,-149.840942,65.910317
1,60-4-B-SAPU,60-4,SAPU,56,,11,22,21,1,0,0,0.047619048,,,1,Moose,,,1406.241796,West,20F,Tall Shrub (Open-Closed),Black Spruce Woodland,Silt Loam,Mesic,0,110.670654,252,1.181915,-149.840942,65.910317
1,60-4-B-BENA,60-4,BENA,95,,9,0,9,0,2,0,,0.222222222,,1,,Hare,,1406.241796,West,20F,Tall Shrub (Open-Closed),Black Spruce Woodland,Silt Loam,Mesic,0,110.670654,252,1.181915,-149.840942,65.910317
1,60-4-C-BENA,60-4,BENA,82,,9,0,11,0,0,0,,,,,,,,1406.241796,West,20F,Tall Shrub (Open-Closed),Black Spruce Woodland,Silt Loam,Mesic,0,110.670654,252,1.181915,-149.840942,65.910317
1,60-4-C-SAPU,60-4,SAPU,76,,12,18,31,3,1,0,0.096774194,0.032258065,,1,Moose,Hare,,1406.241796,West,20F,Tall Shrub (Open-Closed),Black Spruce Woodland,Silt Loam,Mesic,0,110.670654,252,1.181915,-149.840942,65.910317
1,60-4-D-BENA,60-4,BENA,84,,11,11,15,0,3,0,,0.2,,1,,Hare,,1406.241796,West,20F,Tall Shrub (Open-Closed),Black Spruce Woodland,Silt Loam,Mesic,0,110.670654,252,1.181915,-149.840942,65.910317
1,60-4-D-SAPU,60-4,SAPU,103,,15,13,35,1,4,0,0.028571429,0.114285714,,1,Moose,Hare,,1406.241796,West,20F,Tall Shrub (Open-Closed),Black Spruce Woodland,Silt Loam,Mesic,0,110.670654,252,1.181915,-149.840942,65.910317
2,72-1-A-BENA,72-1,BENA,52,34,6,13,6,0,0,0,,,,,,,,895.937772,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,130.808105,148,1.606934,-150.14017,66.022623
2,72-1-A-SAPU,72-1,SAPU,91,87,15,19,15,0,6,0,,0.4,,1,,Hare,,895.937772,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,130.808105,148,1.606934,-150.14017,66.022623
2,72-1-B-BENA,72-1,BENA,84,63,8,17,9,0,0,0,,,,,,,,895.937772,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,130.808105,148,1.606934,-150.14017,66.022623
2,72-1-B-SAPU,72-1,SAPU,79,66,15,23,16,0,2,0,,0.125,,1,,Hare,,895.937772,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,130.808105,148,1.606934,-150.14017,66.022623
2,72-1-C-BENA,72-1,BENA,118,71,9,0,11,0,2,0,,0.181818182,,1,,Hare,,895.937772,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,130.808105,148,1.606934,-150.14017,66.022623
2,72-1-C-SAGL,72-1,SAGL,112,103,13,11,16,1,0,0,0.0625,,,1,Moose,,,895.937772,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,130.808105,148,1.606934,-150.14017,66.022623
2,72-1-D-BENA,72-1,BENA,65,41,8,7,4,0,0,0,,,,,,,,895.937772,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,130.808105,148,1.606934,-150.14017,66.022623
2,72-1-D-SAPU,72-1,SAPU,68,54,18,0,8,0,1,0,,0.125,,1,,Hare,,895.937772,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,130.808105,148,1.606934,-150.14017,66.022623
2,72-2-A-BENA,72-2,BENA,121,72,12,21,14,0,0,0,,,,,,,,855.94066,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,131.055786,179,2.125059,-150.13956,66.022889
2,72-2-A-SAGL,72-2,SAGL,129,121,17,0,12,0,0,0,,,,,,,,855.94066,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,131.055786,179,2.125059,-150.13956,66.022889
2,72-2-B-BENA,72-2,BENA,104,67,9,0,5,0,1,0,,0.2,,1,,Hare,,855.94066,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,131.055786,179,2.125059,-150.13956,66.022889
2,72-2-B-SAPU,72-2,SAPU,161,143,16,14,16,0,1,0,,0.0625,,1,,Hare,,855.94066,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,131.055786,179,2.125059,-150.13956,66.022889
2,72-2-C-BENA,72-2,BENA,110,41,10,11,9,0,0,0,,,,,,,,855.94066,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,131.055786,179,2.125059,-150.13956,66.022889
2,72-2-C-SAPU,72-2,SAPU,97,84,22,5,22,0,0,0,,,,,,,,855.94066,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,131.055786,179,2.125059,-150.13956,66.022889
2,72-2-D-BENA,72-2,BENA,105,63,8,4,7,0,0,0,,,,,,,,855.94066,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,131.055786,179,2.125059,-150.13956,66.022889
2,72-2-D-SAPU,72-2,SAPU,79,60,21,0,11,0,0,0,,,,,,,,855.94066,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,131.055786,179,2.125059,-150.13956,66.022889
2,72-3-A-BENA,72-3,BENA,84,49,7,0,8,0,0,0,,,,,,,,885.368743,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,132.401993,119,2.284806,-150.140609,66.023021
2,72-3-A-SAGL,72-3,SAGL,122,114,14,7,15,0,1,0,,0.066666667,,1,,Hare,,885.368743,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,132.401993,119,2.284806,-150.140609,66.023021
2,72-3-B-BENA,72-3,BENA,79,44,9,0,5,0,0,0,,,,,,,,885.368743,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,132.401993,119,2.284806,-150.140609,66.023021
2,72-3-B-SAPU,72-3,SAPU,75,59,20,4,12,0,0,0,,,,,,,,885.368743,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,132.401993,119,2.284806,-150.140609,66.023021
2,72-3-C-BENA,72-3,BENA,65,39,9,0,4,0,0,0,,,,,,,,885.368743,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,132.401993,119,2.284806,-150.140609,66.023021
2,72-3-D-BENA,72-3,BENA,104,47,11,0,9,0,0,0,,,,,,,,885.368743,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,132.401993,119,2.284806,-150.140609,66.023021
2,72-3-D-SAGL,72-3,SAGL,128,109,19,9,10,0,2,0,,0.2,,1,,Hare,,885.368743,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,132.401993,119,2.284806,-150.140609,66.023021
2,72-4-A-BENA,72-4,BENA,97,39,7,0,8,0,0,0,,,,,,,,844.255779,West,20F,Tussock Tundra (Low shrub or Herbaceous),Low Shrub-Tussock Tundra,Clay Loam,Mesic,0,132.260803,156,1.029158,-150.139994,66.023305
2,72-4-A-SAPU,72-4,SAPU,106,84,13,0,11,1,1,0,0.090909091,0.090909091,,1,Moose,Hare,,844.255779,West,20F,Tussock Tundra (Low shrub or Herbaceous),Low Shrub-Tussock Tundra,Clay Loam,Mesic,0,132.260803,156,1.029158,-150.139994,66.023305
2,72-4-B-BENA,72-4,BENA,94,37,6,0,5,0,0,0,,,,,,,,844.255779,West,20F,Tussock Tundra (Low shrub or Herbaceous),Low Shrub-Tussock Tundra,Clay Loam,Mesic,0,132.260803,156,1.029158,-150.139994,66.023305
2,72-4-B-SAPU,72-4,SAPU,111,93,14,0,13,0,0,0,,,,,,,,844.255779,West,20F,Tussock Tundra (Low shrub or Herbaceous),Low Shrub-Tussock Tundra,Clay Loam,Mesic,0,132.260803,156,1.029158,-150.139994,66.023305
2,72-4-C-BENA,72-4,BENA,96,35,10,0,9,0,0,0,,,,,,,,844.255779,West,20F,Tussock Tundra (Low shrub or Herbaceous),Low Shrub-Tussock Tundra,Clay Loam,Mesic,0,132.260803,156,1.029158,-150.139994,66.023305
2,72-4-C-SAPU,72-4,SAPU,91,73,13,0,13,0,0,0,,,,,,,,844.255779,West,20F,Tussock Tundra (Low shrub or Herbaceous),Low Shrub-Tussock Tundra,Clay Loam,Mesic,0,132.260803,156,1.029158,-150.139994,66.023305
2,72-4-D-BENA,72-4,BENA,85,37,8,0,12,0,0,0,,,,,,,,844.255779,West,20F,Tussock Tundra (Low shrub or Herbaceous),Low Shrub-Tussock Tundra,Clay Loam,Mesic,0,132.260803,156,1.029158,-150.139994,66.023305
2,72-4-D-SAPU,72-4,SAPU,69,57,8,0,11,0,1,0,,0.090909091,,1,,Hare,,844.255779,West,20F,Tussock Tundra (Low shrub or Herbaceous),Low Shrub-Tussock Tundra,Clay Loam,Mesic,0,132.260803,156,1.029158,-150.139994,66.023305
3,86-1-A-BENA,86-1,BENA,142,,20,0,87,1,0,0,0.011494253,,,1,Moose,,,1072.088921,West,20F,Tall Shrub (Open-Closed),Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,572.239319,57,8.372539,-150.2773,66.212913
3,86-1-A-ALVI,86-1,ALVI,140,,18,16,25,0,0,0,,,,,,,,1072.088921,West,20F,Tall Shrub (Open-Closed),Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,572.239319,57,8.372539,-150.2773,66.212913
3,86-1-A-SABE,86-1,SABE,129,,19,19,52,1,0,0,0.019230769,,,1,Moose,,,1072.088921,West,20F,Tall Shrub (Open-Closed),Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,572.239319,57,8.372539,-150.2773,66.212913
3,86-1-B-SABE,86-1,SABE,172,,24,22,146,0,0,0,,,,,,,,1072.088921,West,20F,Tall Shrub (Open-Closed),Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,572.239319,57,8.372539,-150.2773,66.212913
3,86-1-B-ALVI,86-1,ALVI,153,,21,9,21,0,0,0,,,,,,,,1072.088921,West,20F,Tall Shrub (Open-Closed),Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,572.239319,57,8.372539,-150.2773,66.212913
3,86-1-B-BENA,86-1,BENA,95,,11,0,56,0,0,0,,,,,,,,1072.088921,West,20F,Tall Shrub (Open-Closed),Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,572.239319,57,8.372539,-150.2773,66.212913
3,86-1-C-SABE,86-1,SABE,125,,17,0,41,4,0,0,0.097560976,,,1,Moose,,,1072.088921,West,20F,Tall Shrub (Open-Closed),Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,572.239319,57,8.372539,-150.2773,66.212913
3,86-1-C-BENA,86-1,BENA,131,,16,13,61,0,0,0,,,,,,,,1072.088921,West,20F,Tall Shrub (Open-Closed),Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,572.239319,57,8.372539,-150.2773,66.212913
3,86-1-C-ALVI,86-1,ALVI,163,,29,11,38,0,0,0,,,,,,,,1072.088921,West,20F,Tall Shrub (Open-Closed),Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,572.239319,57,8.372539,-150.2773,66.212913
3,86-1-D-SABE,86-1,SABE,76,,8,0,10,2,0,0,0.2,,,1,Moose,,,1072.088921,West,20F,Tall Shrub (Open-Closed),Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,572.239319,57,8.372539,-150.2773,66.212913
3,86-1-D-BENA,86-1,BENA,121,,20,0,93,0,0,0,,,,,,,,1072.088921,West,20F,Tall Shrub (Open-Closed),Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,572.239319,57,8.372539,-150.2773,66.212913
3,86-1-D-ALVI,86-1,ALVI,159,,23,22,22,0,0,0,,,,,,,,1072.088921,West,20F,Tall Shrub (Open-Closed),Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,572.239319,57,8.372539,-150.2773,66.212913
3,86-2-A-ALVI,86-2,ALVI,78,,23,8,41,0,0,0,,,,,,,,1091.215231,West,20F,Low Shrub,Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,576.231995,67,9.004415,-150.278061,66.212989
3,86-2-A-BENA,86-2,BENA,118,,20,0,82,0,0,0,,,,,,,,1091.215231,West,20F,Low Shrub,Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,576.231995,67,9.004415,-150.278061,66.212989
3,86-2-B-ALVI,86-2,ALVI,187,,36,12,67,0,0,0,,,,,,,,1091.215231,West,20F,Low Shrub,Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,576.231995,67,9.004415,-150.278061,66.212989
3,86-2-B-BENA,86-2,BENA,94,,18,3,35,0,0,0,,,,,,,,1091.215231,West,20F,Low Shrub,Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,576.231995,67,9.004415,-150.278061,66.212989
3,86-2-C-ALVI,86-2,ALVI,138,,22,18,45,0,0,0,,,,,,,,1091.215231,West,20F,Low Shrub,Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,576.231995,67,9.004415,-150.278061,66.212989
3,86-2-C-BENA,86-2,BENA,117,,18,0,72,0,0,0,,,,,,,,1091.215231,West,20F,Low Shrub,Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,576.231995,67,9.004415,-150.278061,66.212989
