Section,ShrubID,SiteID,Species,StemLength,StemHeight,StemDiam,CanopyCover,Twigs,Moose,Hare,Ptarmagin,PropMoose,PropHare,PropPtarmagin,Bin_Moose,Bin_Hare,Bin_Ptarmagin,Binary_Browse,MooseFeces,HareFeces ,PtarmaginFeces,DistToRoad,RoadSide,GMU,VegCoverGIS,VegCoverOBS,SoilText,SoilMoist,LastBurn,Elevation,Aspect,Slope,X_Cord,Y_Cord
1,60-1-A-BENA,60-1,BENA,121,,11,3,23,0,2,0,0,0.086956522,0,,Hare,,1,0,1,0,1438.56091,West,20F,Low Shrub,Low Shrub-Tussock Tundra,Silt Loam,Mesic,0,110.943649,215,1.507567,-149.840126,65.909691
1,60-1-B-BENA,60-1,BENA,129,,14,0,32,0,4,0,0,0.125,0,,Hare,,1,0,1,0,1438.56091,West,20F,Low Shrub,Low Shrub-Tussock Tundra,Silt Loam,Mesic,0,110.943649,215,1.507567,-149.840126,65.909691
1,60-1-B-SAPU,60-1,SAPU,98,,10,10,41,0,1,0,0,0.024390244,0,,Hare,,1,0,1,0,1438.56091,West,20F,Low Shrub,Low Shrub-Tussock Tundra,Silt Loam,Mesic,0,110.943649,215,1.507567,-149.840126,65.909691
1,60-2-A-BENA,60-2,BENA,89,,9,0,10,0,0,0,0,0,0,,,,0,0,2,0,1432.670461,West,20F,Low Shrub,Low Shrub,Silt Loam,Mesic,0,110.927505,264,1.953402,-149.84073,65.909949
1,60-2-C-SAPU,60-2,SAPU,76,,8,17,12,3,0,0,0.25,0,0,Moose,,,1,0,2,0,1432.670461,West,20F,Low Shrub,Low Shrub,Silt Loam,Mesic,0,110.927505,264,1.953402,-149.84073,65.909949
1,60-2-D-BENA,60-2,BENA,102,,7,0,18,0,0,0,0,0,0,,,,0,0,2,0,1432.670461,West,20F,Low Shrub,Low Shrub,Silt Loam,Mesic,0,110.927505,264,1.953402,-149.84073,65.909949
1,60-2-D-SAPU,60-2,SAPU,84,,16,7,26,2,1,0,0.076923077,0.038461538,0,Moose,Hare,,1,0,2,0,1432.670461,West,20F,Low Shrub,Low Shrub,Silt Loam,Mesic,0,110.927505,264,1.953402,-149.84073,65.909949
1,60-3-A-BENA,60-3,BENA,83,,8,11,15,0,0,0,0,0,0,,,,0,0,3,0,1403.187226,West,20F,Low Shrub,Black Spruce Woodland,Silt Loam,Mesic,0,111.24585,78,1.323723,-149.840194,65.910114
1,60-3-A-SAPU,60-3,SAPU,139,,17,32,54,2,2,0,0.037037037,0.037037037,0,Moose,Hare,,1,0,3,0,1403.187226,West,20F,Low Shrub,Black Spruce Woodland,Silt Loam,Mesic,0,111.24585,78,1.323723,-149.840194,65.910114
1,60-3-B-SAPU,60-3,SAPU,81,,8,22,16,0,0,0,0,0,0,,,,0,0,3,0,1403.187226,West,20F,Low Shrub,Black Spruce Woodland,Silt Loam,Mesic,0,111.24585,78,1.323723,-149.840194,65.910114
1,60-3-D-BENA,60-3,BENA,101,,8,0,12,0,0,0,0,0,0,,,,0,0,3,0,1403.187226,West,20F,Low Shrub,Black Spruce Woodland,Silt Loam,Mesic,0,111.24585,78,1.323723,-149.840194,65.910114
1,60-4-A-BENA,60-4,BENA,92,,7,13,13,0,0,0,0,0,0,,,,0,0,1,0,1406.241796,West,20F,Tall Shrub (Open-Closed),Black Spruce Woodland,Silt Loam,Mesic,0,110.670654,252,1.181915,-149.840942,65.910317
1,60-4-A-SAPU,60-4,SAPU,88,,10,8,23,1,2,0,0.043478261,0.086956522,0,Moose,Hare,,1,0,1,0,1406.241796,West,20F,Tall Shrub (Open-Closed),Black Spruce Woodland,Silt Loam,Mesic,0,110.670654,252,1.181915,-149.840942,65.910317
1,60-4-B-BENA,60-4,BENA,95,,9,0,9,0,2,0,0,0.222222222,0,,Hare,,1,0,1,0,1406.241796,West,20F,Tall Shrub (Open-Closed),Black Spruce Woodland,Silt Loam,Mesic,0,110.670654,252,1.181915,-149.840942,65.910317
1,60-4-D-SAPU,60-4,SAPU,103,,15,13,35,1,4,0,0.028571429,0.114285714,0,Moose,Hare,,1,0,1,0,1406.241796,West,20F,Tall Shrub (Open-Closed),Black Spruce Woodland,Silt Loam,Mesic,0,110.670654,252,1.181915,-149.840942,65.910317
2,72-1-A-SAPU,72-1,SAPU,91,87,15,19,15,0,6,0,0,0.4,0,,Hare,,1,0,0,0,895.937772,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,130.808105,148,1.606934,-150.14017,66.022623
2,72-1-C-BENA,72-1,BENA,118,71,9,0,11,0,2,0,0,0.181818182,0,,Hare,,1,0,0,0,895.937772,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,130.808105,148,1.606934,-150.14017,66.022623
2,72-1-C-SAGL,72-1,SAGL,112,103,13,11,16,1,0,0,0.0625,0,0,Moose,,,1,0,0,0,895.937772,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,130.808105,148,1.606934,-150.14017,66.022623
2,72-1-D-BENA,72-1,BENA,65,41,8,7,4,0,0,0,0,0,0,,,,0,0,0,0,895.937772,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,130.808105,148,1.606934,-150.14017,66.022623
2,72-1-D-SAPU,72-1,SAPU,68,54,18,0,8,0,1,0,0,0.125,0,,Hare,,1,0,0,0,895.937772,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,130.808105,148,1.606934,-150.14017,66.022623
2,72-2-A-BENA,72-2,BENA,121,72,12,21,14,0,0,0,0,0,0,,,,0,0,0,0,855.94066,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,131.055786,179,2.125059,-150.13956,66.022889
2,72-2-A-SAGL,72-2,SAGL,129,121,17,0,12,0,0,0,0,0,0,,,,0,0,0,0,855.94066,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,131.055786,179,2.125059,-150.13956,66.022889
