ShrubID,Radii,Radius 
60-1-A-BENA,1,4.557
60-1-A-BENA,2,4.233
60-1-A-BENA,3,3.421
60-1-A-BENA,4,4.244
60-1-B-BENA,1,5.851
60-1-B-BENA,2,5.369
60-1-B-BENA,3,5.533
60-1-B-BENA,4,6.77
60-1-B-SAPU,1,5.209
60-1-B-SAPU,2,4.23
60-1-B-SAPU,3,4.349
60-1-B-SAPU,4,4.49
60-2-A-BENA,1,3.691
60-2-A-BENA,2,3.92
60-2-A-BENA,3,4.164
60-2-A-BENA,4,4.328
60-2-C-SAPU,1,2.995
60-2-C-SAPU,2,3.482
60-2-C-SAPU,3,4.72
60-2-C-SAPU,4,3.25
60-2-D-BENA,1,2.839
60-2-D-BENA,2,3.091
60-2-D-BENA,3,3.431
60-2-D-BENA,4,3.446
60-2-D-SAPU,1,5.632
60-2-D-SAPU,2,5.99
60-2-D-SAPU,3,5.745
60-2-D-SAPU,4,5.717
60-3-A-BENA,1,3.535
60-3-A-BENA,2,3.263
60-3-A-BENA,3,3.493
60-3-A-BENA,4,3.574
60-3-A-SAPU,1,
60-3-A-SAPU,2,5.372
60-3-A-SAPU,3,5.623
60-3-A-SAPU,4,7.78
60-3-B-SAPU,1,3.469
60-3-B-SAPU,2,2.928
60-3-B-SAPU,3,3.199
60-3-B-SAPU,4,2.735
60-3-D-BENA,1,3.341
60-3-D-BENA,2,3.425
60-3-D-BENA,3,2.964
60-3-D-BENA,4,3.186
60-4-A-BENA,1,2.918
60-4-A-BENA,2,3.25
60-4-A-BENA,3,3.645
60-4-A-BENA,4,3.114
60-4-A-SAPU,1,3.502
60-4-A-SAPU,2,4.296
60-4-A-SAPU,3,3.803
60-4-A-SAPU,4,4.843
60-4-B-BENA,1,3.752
60-4-B-BENA,2,4.237
60-4-B-BENA,3,3.617
60-4-B-BENA,4,4.675
60-4-D-SAPU,1,4.537
60-4-D-SAPU,2,4.22
60-4-D-SAPU,3,4.473
60-4-D-SAPU,4,4.813
72-1-A-SAPU,1,6.223
72-1-A-SAPU,2,5.406
72-1-A-SAPU,3,5.409
72-1-A-SAPU,4,5.486
72-1-C-BENA,1,4.807
72-1-C-BENA,2,4.328
72-1-C-BENA,3,3.156
72-1-C-BENA,4,3.327
72-1-C-SAGL,1,5.106
72-1-C-SAGL,2,5.422
72-1-C-SAGL,3,4.621
72-1-C-SAGL,4,4.531
72-1-D-BENA,1,8.615
72-1-D-BENA,2,7.083
72-1-D-BENA,3,3.317
72-1-D-BENA,4,3.919
72-1-D-SAPU,1,2.637
72-1-D-SAPU,2,2.872
72-1-D-SAPU,3,2.767
72-1-D-SAPU,4,3.482
72-2-A-BENA,1,4.263
72-2-A-BENA,2,4.503
72-2-A-BENA,3,4.938
72-2-A-BENA,4,4.998
72-2-A-SAGL,1,7.042
72-2-A-SAGL,2,6.236
72-2-A-SAGL,3,6.086
72-2-A-SAGL,4,6.468
72-2-B-BENA,1,3.453
72-2-B-BENA,2,3.776
72-2-B-BENA,3,3.855
72-2-B-BENA,4,3.872
72-2-C-SAPU,1,7.852
72-2-C-SAPU,2,9.06
72-2-C-SAPU,3,8.13
72-2-C-SAPU,4,7.299
72-2-D-SAPU,1,8.553
72-2-D-SAPU,2,7.347
72-2-D-SAPU,3,
72-2-D-SAPU,4,9.589
72-3-A-SAGL,1,6.606
72-3-A-SAGL,2,5.857
72-3-A-SAGL,3,4.304
72-3-A-SAGL,4,4.319
72-3-B-SAPU,1,5.303
72-3-B-SAPU,2,10.409
72-3-B-SAPU,3,5.886
72-3-B-SAPU,4,5.506
72-3-C-BENA,1,4.591
72-3-C-BENA,2,3.549
72-3-C-BENA,3,4.577
72-3-C-BENA,4,4.395
72-3-D-BENA,1,3.421
72-3-D-BENA,2,4.132
72-3-D-BENA,3,4.259
72-3-D-BENA,4,3.861
72-3-D-SAGL,1,7.04
72-3-D-SAGL,2,7.648
72-3-D-SAGL,3,7.794
72-3-D-SAGL,4,7.145
72-4-A-BENA,1,3.076
72-4-A-BENA,2,3.051
72-4-A-BENA,3,3.274
72-4-A-BENA,4,3.008
72-4-B-SAPU,1,4.456
72-4-B-SAPU,2,4.732
72-4-B-SAPU,3,
72-4-B-SAPU,4,3.626
72-4-D-BENA,1,2.856
72-4-D-BENA,2,2.838
72-4-D-BENA,3,3.127
72-4-D-BENA,4,3.08
72-4-D-SAPU,1,3.12
72-4-D-SAPU,2,3.849
72-4-D-SAPU,3,3.975
72-4-D-SAPU,4,3.003
86-1-A-BENA,1,8.868
86-1-A-BENA,2,7.778
86-1-A-BENA,3,7.546
86-1-A-BENA,4,11.561
86-1-A-SABE,1,4.442
86-1-A-SABE,2,3.795
86-1-A-SABE,3,3.015
86-1-A-SABE,4,3.68
86-1-B-BENA,1,5.096
86-1-B-BENA,2,4.16
86-1-B-BENA,3,4.617
86-1-B-BENA,4,5.101
86-1-D-SABE,1,6.225
86-1-D-SABE,2,
86-1-D-SABE,3,6.645
86-1-D-SABE,4,8.951
86-2-A-BENA,1,9.202
86-2-A-BENA,2,9.962
86-2-A-BENA,3,
86-2-A-BENA,4,8.429
86-2-B-BENA,1,7.208
86-2-B-BENA,2,6.852
86-2-B-BENA,3,7.867
86-2-B-BENA,4,6.092
86-2-C-SABE,1,3.536
86-2-C-SABE,2,3.729
86-2-C-SABE,3,3.669
86-2-C-SABE,4,3.564
86-2-D-SABE,1,11.046
86-2-D-SABE,2,11.556
86-2-D-SABE,3,
86-2-D-SABE,4,
86-3-A-BENA,1,7.776
86-3-A-BENA,2,7.455
86-3-A-BENA,3,6.968
86-3-A-BENA,4,7.484
86-3-C-SABE,1,5.414
86-3-C-SABE,2,6.252
86-3-C-SABE,3,
86-3-C-SABE,4,
86-3-D-BENA,1,7.001
86-3-D-BENA,2,7.058
86-3-D-BENA,3,7.677
86-3-D-BENA,4,6.42
86-3-D-SABE,1,7.189
86-3-D-SABE,2,6.155
86-3-D-SABE,3,5.125
86-3-D-SABE,4,5.538
86-4-A-SABE,1,
86-4-A-SABE,2,7.112
86-4-A-SABE,3,9.208
86-4-A-SABE,4,6.598
86-4-C-BENA,1,13.474
86-4-C-BENA,2,9.417
86-4-C-BENA,3,
86-4-C-BENA,4,11.399
86-4-D-BENA,1,5.273
86-4-D-BENA,2,5.975
86-4-D-BENA,3,
86-4-D-BENA,4,5.813
86-4-D-SABE,1,4.883
86-4-D-SABE,2,4.001
86-4-D-SABE,3,4.296
86-4-D-SABE,4,4.671
97-1-B-SAPU,1,11.281
97-1-B-SAPU,2,10.132
97-1-B-SAPU,3,
97-1-B-SAPU,4,11.083
