Shrub ID,Pith
60-1-A-BENA,0.192
60-1-A-BENA,0.172
60-1-A-BENA,0.219
60-1-A-BENA,0.206
60-1-B-BENA,0.103
60-1-B-BENA,0.073
60-1-B-BENA,0.11
60-1-B-BENA,0.199
60-1-B-SAPU,0.197
60-1-B-SAPU,0.293
60-1-B-SAPU,0.186
60-1-B-SAPU,0.273
60-2-A-BENA,0.203
60-2-A-BENA,0.227
60-2-A-BENA,0.295
60-2-A-BENA,0.295
60-2-C-SAPU,0.221
60-2-C-SAPU,0.285
60-2-C-SAPU,0.189
60-2-C-SAPU,0.249
60-2-D-BENA,0.198
60-2-D-BENA,0.217
60-2-D-BENA,0.218
60-2-D-BENA,0.196
60-2-D-SAPU,0.2
60-2-D-SAPU,0.272
60-2-D-SAPU,0.228
60-2-D-SAPU,0.219
60-3-A-BENA,0.262
60-3-A-BENA,0.223
60-3-A-BENA,0.313
60-3-A-BENA,0.215
60-3-A-SAPU,
60-3-A-SAPU,0.294
60-3-A-SAPU,0.331
60-3-A-SAPU,0.274
60-3-B-SAPU,0.271
60-3-B-SAPU,0.196
60-3-B-SAPU,0.229
60-3-B-SAPU,0.226
60-3-D-BENA,0.175
60-3-D-BENA,0.196
60-3-D-BENA,0.153
60-3-D-BENA,0.194
60-4-A-BENA,0.116
60-4-A-BENA,0.131
60-4-A-BENA,0.097
60-4-A-BENA,0.131
60-4-A-SAPU,0.219
60-4-A-SAPU,0.239
60-4-A-SAPU,0.215
60-4-A-SAPU,0.247
60-4-B-BENA,0.183
60-4-B-BENA,0.297
60-4-B-BENA,0.141
60-4-B-BENA,0.145
60-4-D-SAPU,0.206
60-4-D-SAPU,0.234
60-4-D-SAPU,0.212
60-4-D-SAPU,0.231
72-1-A-SAPU,0.163
72-1-A-SAPU,0.224
72-1-A-SAPU,0.213
72-1-A-SAPU,0.168
72-1-C-BENA,0.163
72-1-C-BENA,0.081
72-1-C-BENA,0.173
72-1-C-BENA,0.127
72-1-C-SAGL,0.301
72-1-C-SAGL,0.403
72-1-C-SAGL,0.35
72-1-C-SAGL,0.333
72-1-D-BENA,0.309
72-1-D-BENA,0.189
72-1-D-BENA,0.214
72-1-D-BENA,0.195
72-1-D-SAPU,0.092
72-1-D-SAPU,0.155
72-1-D-SAPU,0.107
72-1-D-SAPU,0.096
72-2-A-BENA,0.132
72-2-A-BENA,0.076
72-2-A-BENA,0.076
72-2-A-BENA,0.091
72-2-A-SAGL,0.242
72-2-A-SAGL,0.311
72-2-A-SAGL,0.268
72-2-A-SAGL,0.42
72-2-B-BENA,0.131
72-2-B-BENA,0.142
72-2-B-BENA,0.139
72-2-B-BENA,0.186
72-2-C-SAPU,0.218
72-2-C-SAPU,0.204
72-2-C-SAPU,0.219
72-2-C-SAPU,0.193
72-2-D-SAPU,0.388
72-2-D-SAPU,0.388
72-2-D-SAPU,
72-2-D-SAPU,0.276
72-3-A-SAGL,0.193
72-3-A-SAGL,0.285
72-3-A-SAGL,0.222
72-3-A-SAGL,0.199
72-3-B-SAPU,0.233
72-3-B-SAPU,0.276
72-3-B-SAPU,0.259
72-3-B-SAPU,0.22
72-3-C-BENA,0.17
72-3-C-BENA,0.153
72-3-C-BENA,0.195
72-3-C-BENA,0.19
72-3-D-BENA,0.13
72-3-D-BENA,0.19
72-3-D-BENA,0.126
72-3-D-BENA,0.114
72-3-D-SAGL,0.415
72-3-D-SAGL,0.319
72-3-D-SAGL,0.422
72-3-D-SAGL,0.347
72-4-A-BENA,0.17
72-4-A-BENA,0.152
72-4-A-BENA,0.2
72-4-A-BENA,0.135
72-4-B-SAPU,0.286
72-4-B-SAPU,0.227
72-4-B-SAPU,0.286
72-4-B-SAPU,0.256
72-4-D-BENA,0.172
72-4-D-BENA,0.212
72-4-D-BENA,0.197
72-4-D-BENA,0.174
72-4-D-SAPU,0.284
72-4-D-SAPU,0.288
72-4-D-SAPU,0.327
72-4-D-SAPU,0.323
86-1-A-BENA,0.155
86-1-A-BENA,0.173
86-1-A-BENA,0.242
86-1-A-BENA,0.164
86-1-A-SABE,0.129
86-1-A-SABE,0.206
86-1-A-SABE,0.127
86-1-A-SABE,0.117
86-1-B-BENA,0.131
86-1-B-BENA,0.149
86-1-B-BENA,0.167
86-1-B-BENA,0.25
86-1-D-SABE,0.189
86-1-D-SABE,
86-1-D-SABE,0.214
86-1-D-SABE,0.22
86-2-A-BENA,0.158
86-2-A-BENA,0.163
86-2-A-BENA,
86-2-A-BENA,0.2
86-2-B-BENA,0.09
86-2-B-BENA,0.14
86-2-B-BENA,0.09
86-2-B-BENA,0.073
86-2-C-SABE,0.2
86-2-C-SABE,0.211
86-2-C-SABE,0.185
86-2-C-SABE,0.2
86-2-D-SABE,1.277
86-2-D-SABE,1.766
86-2-D-SABE,
86-2-D-SABE,
86-3-A-BENA,0.129
86-3-A-BENA,0.065
86-3-A-BENA,0.11
86-3-A-BENA,0.104
86-3-C-SABE,0.039
86-3-C-SABE,0.029
86-3-C-SABE,0.04
86-3-C-SABE,0.032
86-3-D-BENA,0.167
86-3-D-BENA,0.338
86-3-D-BENA,0.268
86-3-D-BENA,0.36
86-3-D-SABE,0.06
86-3-D-SABE,0.086
86-3-D-SABE,0.073
86-3-D-SABE,0.087
86-4-A-SABE,
86-4-A-SABE,0.332
86-4-A-SABE,0.328
86-4-A-SABE,0.328
86-4-C-BENA,0.122
86-4-C-BENA,0.153
86-4-C-BENA,0.13
86-4-C-BENA,0.135
86-4-D-BENA,0.126
86-4-D-BENA,0.201
86-4-D-BENA,
86-4-D-BENA,0.125
86-4-D-SABE,0.11
86-4-D-SABE,0.1
86-4-D-SABE,0.106
86-4-D-SABE,0.115
