ShrubID;long;lat
60-1-A-BENA;189772.351;1778339.986
60-1-B-BENA;189772.351;1778339.986
60-1-B-SAPU;189772.351;1778339.986
60-2-A-BENA;189743.0355;1778366.92
60-2-C-SAPU;189743.0355;1778366.92
60-2-D-BENA;189743.0355;1778366.92
60-2-D-SAPU;189743.0355;1778366.92
60-3-A-BENA;189766.3059;1778386.78
60-3-A-SAPU;189766.3059;1778386.78
60-3-B-SAPU;189766.3059;1778386.78
60-3-D-BENA;189766.3059;1778386.78
60-4-A-BENA;189730.8134;1778407.192
60-4-A-SAPU;189730.8134;1778407.192
60-4-B-BENA;189730.8134;1778407.192
60-4-D-SAPU;189730.8134;1778407.192
72-1-A-SAPU;175370.406;1790060.063
72-1-C-BENA;175370.406;1790060.063
72-1-C-SAGL;175370.406;1790060.063
72-1-D-BENA;175370.406;1790060.063
72-1-D-SAPU;175370.406;1790060.063
72-2-A-BENA;175396.3704;1790091.223
72-2-A-SAGL;175396.3704;1790091.223
72-2-B-BENA;175396.3704;1790091.223
72-2-C-SAPU;175396.3704;1790091.223
72-2-D-SAPU;175396.3704;1790091.223
72-3-A-SAGL;175347.9104;1790103.116
72-3-B-SAPU;175347.9104;1790103.116
72-3-C-BENA;175347.9104;1790103.116
72-3-D-BENA;175347.9104;1790103.116
72-3-D-SAGL;175347.9104;1790103.116
72-4-A-BENA;175373.9852;1790136.288
72-4-B-SAPU;175373.9852;1790136.288
72-4-D-BENA;175373.9852;1790136.288
72-4-D-SAPU;175373.9852;1790136.288
86-1-A-BENA;167960.5395;1810840.676
86-1-A-SABE;167960.5395;1810840.676
86-1-B-BENA;167960.5395;1810840.676
86-1-D-SABE;167960.5395;1810840.676
86-2-A-BENA;167925.7672;1810847.192
86-2-B-BENA;167925.7672;1810847.192
86-2-C-SABE;167925.7672;1810847.192
86-2-D-SABE;167925.7672;1810847.192
86-3-A-BENA;167937.3319;1810882.82
86-3-C-SABE;167937.3319;1810882.82
86-3-D-BENA;167937.3319;1810882.82
86-3-D-SABE;167937.3319;1810882.82
86-4-A-SABE;167901.9475;1810892.198
86-4-C-BENA;167901.9475;1810892.198
86-4-D-BENA;167901.9475;1810892.198
86-4-D-SABE;167901.9475;1810892.198
97-1-B-SAPU;160171.4836;1825543.175
97-1-C-BENA;160171.4836;1825543.175
97-1-D-BENA;160171.4836;1825543.175
97-1-D-SAPU;160171.4836;1825543.175
97-2-A-BENA;160128.8149;1825549.566
97-2-B-BENA;160128.8149;1825549.566
97-2-B-SAPU;160128.8149;1825549.566
97-2-C-SAPU;160128.8149;1825549.566
97-3-A-BENA;160154.929;1825585.043
97-3-D-BENA;160154.929;1825585.043
97-3-D-SAPU;160154.929;1825585.043
97-4-B-BENA;160121.5482;1825599.394
97-4-D-BENA;160121.5482;1825599.394
102-1-B-BENA;153890.1116;1830996.323
102-1-C-BENA;153890.1116;1830996.323
102-1-C-SAPU;153890.1116;1830996.323
102-1-D-SAPU;153890.1116;1830996.323
102-2-A-SAPU;153865.79;1831021.337
102-2-B-BENA;153865.79;1831021.337
102-2-C-BENA;153865.79;1831021.337
102-2-C-SAPU;153865.79;1831021.337
102-3-A-BENA;153879.5072;1831053.774
102-3-A-SAPU;153879.5072;1831053.774
102-3-B-BENA;153879.5072;1831053.774
102-3-D-SAPU;153879.5072;1831053.774
102-4-A-BENA;153861.3928;1831074.211
102-4-A-SAPU;153861.3928;1831074.211
102-4-C-BENA;153861.3928;1831074.211
102-4-C-SAPU;153861.3928;1831074.211
111-1-A-BENA;145692.3365;1841465.025
111-1-B-BENA;145692.3365;1841465.025
111-2-A-BENA;145655.4754;1841439.843
111-2-C-SAPU;145655.4754;1841439.843
111-2-D-BENA;145655.4754;1841439.843
111-3-A-BENA;145652.7512;1841478.881
111-3-D-BENA;145652.7512;1841478.881
111-4-A-BENA;145619.3393;1841451.755
111-4-C-BENA;145619.3393;1841451.755
121-1-C-BENA;147847.3021;1852758.629
121-1-D-BENA;147847.3021;1852758.629
121-2-A-BENA;147825.6535;1852787.028
121-2-B-BENA;147825.6535;1852787.028
121-3-C-BENA;147860.2595;1852807.676
121-3-D-BENA;147860.2595;1852807.676
121-4-A-BENA;147838.7555;1852834.969
121-4-B-BENA;147838.7555;1852834.969
129-1-A-BENA;148468.6176;1865133.489
129-1-B-BENA;148468.6176;1865133.489
129-2-B-BENA;148495.9048;1865110.619
129-2-C-BENA;148495.9048;1865110.619
129-2-C-SAPU;148495.9048;1865110.619
129-3-A-BENA;148516.6212;1865144.034
129-3-B-BENA;148516.6212;1865144.034
129-4-A-SAPU;148544.5613;1865121.42
129-4-B-SAPU;148544.5613;1865121.42
129-4-C-BENA;148544.5613;1865121.42
129-4-D-BENA;148544.5613;1865121.42
147-1-A-BENA;154477.5365;1887883.848
147-1-A-SAPU;154477.5365;1887883.848
147-1-B-BENA;154477.5365;1887883.848
147-1-D-SAPU;154477.5365;1887883.848
147-2-A-BENA;154490.2599;1887912.985
147-2-B-SAPU;154490.2599;1887912.985
147-2-C-SAPU;154490.2599;1887912.985
147-2-D-BENA;154490.2599;1887912.985
147-3-A-BENA;154522.7586;1887902.143
147-3-B-SAPU;154522.7586;1887902.143
147-3-C-BENA;154522.7586;1887902.143
147-3-C-SAPU;154522.7586;1887902.143
147-4-A-BENA;154534.468;1887933.784
147-4-A-SAPU;154534.468;1887933.784
147-4-C-SAPU;154534.468;1887933.784
147-4-D-BENA;154534.468;1887933.784
151-1-C-BENA;159575.9419;1893325.602
151-1-D-BENA;159575.9419;1893325.602
151-2-A-BENA;159611.5323;1893332.334
151-2-B-BENA;159611.5323;1893332.334
151-3-A-BENA;159599.1565;1893371.236
151-3-C-BENA;159599.1565;1893371.236
151-4-A-BENA;159636.3846;1893372.944
151-4-B-SAPU;159636.3846;1893372.944
151-4-D-BENA;159636.3846;1893372.944
158-1-A-SAPU;162418.9104;1903306.568
158-1-B-BENA;162418.9104;1903306.568
158-1-C-SAPU;162418.9104;1903306.568
158-1-D-BENA;162418.9104;1903306.568
158-1-D-SAGL;162418.9104;1903306.568
158-2-B-BENA;162384.9611;1903327.566
158-2-C-BENA;162384.9611;1903327.566
158-2-C-SAPU;162384.9611;1903327.566
158-2-D-SAPU;162384.9611;1903327.566
158-3-A-BENA;162401.6692;1903361.738
158-3-A-SAPU;162401.6692;1903361.738
158-3-B-SAPU;162401.6692;1903361.738
158-3-D-BENA;162401.6692;1903361.738
158-4-A-BENA;162364.2283;1903369.202
158-4-C-BENA;162364.2283;1903369.202
158-4-C-SAPU;162364.2283;1903369.202
173-1-A-BENA;165363.7448;1923650.491
173-1-A-SAPU;165363.7448;1923650.491
173-1-B-BENA;165363.7448;1923650.491
173-1-B-SAPU;165363.7448;1923650.491
173-2-A-BENA;165390.5621;1923685.141
173-2-C-BENA;165390.5621;1923685.141
173-2-C-SAPU;165390.5621;1923685.141
173-2-D-SAPU;165390.5621;1923685.141
173-3-A-SAPU;165346.9339;1923701.525
173-3-B-BENA;165346.9339;1923701.525
173-3-B-SAPU;165346.9339;1923701.525
173-3-C-BENA;165346.9339;1923701.525
173-4-B-BENA;165381.6096;1923734.96
173-4-B-SAPU;165381.6096;1923734.96
173-4-C-BENA;165381.6096;1923734.96
173-4-C-SAPU;165381.6096;1923734.96
184-1-A-SAPU;167997.8501;1939442.605
184-1-B-BENA;167997.8501;1939442.605
184-1-C-BENA;167997.8501;1939442.605
184-1-C-SAPU;167997.8501;1939442.605
184-2-A-BENA;168013.9904;1939467.765
184-2-A-SAPU;168013.9904;1939467.765
184-2-D-BENA;168013.9904;1939467.765
184-2-D-SAPU;168013.9904;1939467.765
184-3-B-BENA;167994.7438;1939490.405
184-3-C-SAPU;167994.7438;1939490.405
184-3-D-BENA;167994.7438;1939490.405
184-3-D-SAPU;167994.7438;1939490.405
184-4-C-SAPU;168015.7837;1939505.079
184-4-D-SAPU;168015.7837;1939505.079
191-1-B-SAPU;178002.3466;1951912.807
191-1-C-BENA;178002.3466;1951912.807
191-1-C-SAPU;178002.3466;1951912.807
191-1-D-BENA;178002.3466;1951912.807
191-2-A-BENA;178039.3215;1951904.786
191-2-A-SAPU;178039.3215;1951904.786
191-2-B-BENA;178039.3215;1951904.786
191-2-B-SAPU;178039.3215;1951904.786
191-3-A-BENA;178044.9248;1951939.343
191-3-A-SAPU;178044.9248;1951939.343
191-3-B-SAPU;178044.9248;1951939.343
191-3-D-BENA;178044.9248;1951939.343
191-4-A-BENA;178081.153;1951939.827
191-4-A-SAPU;178081.153;1951939.827
191-4-B-BENA;178081.153;1951939.827
191-4-D-SAPU;178081.153;1951939.827
203-1-A-BENA;180173.6146;1962674.881
203-1-C-SAPU;180173.6146;1962674.881
203-1-D-BENA;180173.6146;1962674.881
203-1-D-SAPU;180173.6146;1962674.881
203-2-A-SAPU;180206.0164;1962676.714
203-2-B-BENA;180206.0164;1962676.714
203-2-B-SAPU;180206.0164;1962676.714
203-2-C-BENA;180206.0164;1962676.714
203-3-B-BENA;180205.6896;1962704.896
203-3-B-SAPU;180205.6896;1962704.896
203-3-D-BENA;180205.6896;1962704.896
203-3-D-SAPU;180205.6896;1962704.896
203-4-A-BENA;180238.8127;1962708.218
203-4-B-BENA;180238.8127;1962708.218
203-4-B-SAPU;180238.8127;1962708.218
203-4-C-SAPU;180238.8127;1962708.218
209-1-C-BENA;183907.3671;1972288.986
209-1-C-SAPU;183907.3671;1972288.986
209-1-D-BENA;183907.3671;1972288.986
209-1-D-SAPU;183907.3671;1972288.986
209-2-A-SAPU;183937.4622;1972303.596
209-2-B-BENA;183937.4622;1972303.596
209-2-D-BENA;183937.4622;1972303.596
209-2-D-SAPU;183937.4622;1972303.596
209-3-A-BENA;183920.7789;1972330.377
209-3-A-SAPU;183920.7789;1972330.377
209-3-B-SAPU;183920.7789;1972330.377
209-3-D-BENA;183920.7789;1972330.377
209-4-A-SAPU;183948.4727;1972353.602
209-4-B-SAPU;183948.4727;1972353.602
209-4-C-BENA;183948.4727;1972353.602
209-4-D-BENA;183948.4727;1972353.602
222-1-A-SAGL;177749.9682;1990795.094
222-1-B-BENA;177749.9682;1990795.094
222-1-C-SAGL;177749.9682;1990795.094
222-1-D-BENA;177749.9682;1990795.094
222-2-A-BENA;177779.3592;1990816.587
222-2-B-SAGL;177779.3592;1990816.587
222-2-C-SAGL;177779.3592;1990816.587
222-2-D-BENA;177779.3592;1990816.587
222-3-A-BENA;177766.9662;1990842.429
222-3-B-BENA;177766.9662;1990842.429
222-3-B-SAGL;177766.9662;1990842.429
222-3-D-SAGL;177766.9662;1990842.429
222-4-A-SAGL;177794.8778;1990848.963
222-4-C-BENA;177794.8778;1990848.963
222-4-C-SAGL;177794.8778;1990848.963
222-4-D-BENA;177794.8778;1990848.963
235-1-A-BENA;179948.5299;2010750.453
