"","Section","ShrubID","SiteID","Species","StemLength","StemHeight","StemDiam","CanopyCover","Twigs","Moose","Hare","Ptarmagin","PropMoose","PropHare","PropPtarmagin","BMoose","BHare","BPtarmagin","BinaryBrowse","DistToRoad","RoadSide","GMU","VegCoverGIS","VegCoverOBS","SoilText","SoilMoist","LastBurn","Elevation","Aspect","Slope","X_Cord","Y_Cord","Section","Transect","DaltonHwy_MilePoint","Dist_to_Road_m","Side_of_Road","GMU","ShrubsSampled","ShrubsBrowsed","ShrubsBrowsed_Moose","ShrubsBrowsed_Hare","ShrubsBrowsed_Ptarmagin","Moose_Feces_Count","Hare_Feces_  Count","Ptarmagin_Feces_Count","Avg_StemLength","Avg_VertHeight","Avg_CanopyCover","GIS_Veg_Cover_Coarse","GIS_Veg_Cover_Fine","Observed_Veg_Cover_Coarse","SoilTexture","SoilMoisture","Elevation","Aspect","Slope","X_Cord","Y_Cord","Last Burn"
"1",1,"60-1-A-BENA","60-1","BENA",121,NA,11,3,23,NA,2,NA,NA,0.086956522,NA,NA,"Hare",NA,1,1438.56091,"West","20F","Low Shrub","Low Shrub-Tussock Tundra","Silt Loam","Mesic",0,110.943649,215,1.507567,-149.840126,65.909691,1,1,60,1438.6,"West","20F",5,5,1,5,NA,NA,1,NA,114.4,NA,2.6,"Low Shrub","Low Betula nana-Low Willow","Low Shrub-Tussock Tundra","Silt Loam","Mesic",110.943649,215,1.507567,-149.840126,65.909691,0
"2",1,"60-1-B-BENA","60-1","BENA",129,NA,14,0,32,NA,4,NA,NA,0.125,NA,NA,"Hare",NA,1,1438.56091,"West","20F","Low Shrub","Low Shrub-Tussock Tundra","Silt Loam","Mesic",0,110.943649,215,1.507567,-149.840126,65.909691,1,1,60,1438.6,"West","20F",5,5,1,5,NA,NA,1,NA,114.4,NA,2.6,"Low Shrub","Low Betula nana-Low Willow","Low Shrub-Tussock Tundra","Silt Loam","Mesic",110.943649,215,1.507567,-149.840126,65.909691,0
"3",1,"60-1-B-SAPU","60-1","SAPU",98,NA,10,10,41,NA,1,NA,NA,0.024390244,NA,NA,"Hare",NA,1,1438.56091,"West","20F","Low Shrub","Low Shrub-Tussock Tundra","Silt Loam","Mesic",0,110.943649,215,1.507567,-149.840126,65.909691,1,1,60,1438.6,"West","20F",5,5,1,5,NA,NA,1,NA,114.4,NA,2.6,"Low Shrub","Low Betula nana-Low Willow","Low Shrub-Tussock Tundra","Silt Loam","Mesic",110.943649,215,1.507567,-149.840126,65.909691,0
"4",1,"60-2-A-BENA","60-2","BENA",89,NA,9,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1432.670461,"West","20F","Low Shrub","Low Shrub","Silt Loam","Mesic",0,110.927505,264,1.953402,-149.84073,65.909949,1,2,60,1432.7,"West","20F",8,5,4,4,NA,NA,2,NA,101.6,NA,7.88,"Low Shrub","Low Betula nana-Low Willow","Low Shrub","Silt Loam","Mesic",110.927505,264,1.953402,-149.84073,65.909949,0
"5",1,"60-2-C-SAPU","60-2","SAPU",76,NA,8,17,12,3,NA,NA,0.25,NA,NA,"Moose",NA,NA,1,1432.670461,"West","20F","Low Shrub","Low Shrub","Silt Loam","Mesic",0,110.927505,264,1.953402,-149.84073,65.909949,1,2,60,1432.7,"West","20F",8,5,4,4,NA,NA,2,NA,101.6,NA,7.88,"Low Shrub","Low Betula nana-Low Willow","Low Shrub","Silt Loam","Mesic",110.927505,264,1.953402,-149.84073,65.909949,0
"6",1,"60-2-D-BENA","60-2","BENA",102,NA,7,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1432.670461,"West","20F","Low Shrub","Low Shrub","Silt Loam","Mesic",0,110.927505,264,1.953402,-149.84073,65.909949,1,2,60,1432.7,"West","20F",8,5,4,4,NA,NA,2,NA,101.6,NA,7.88,"Low Shrub","Low Betula nana-Low Willow","Low Shrub","Silt Loam","Mesic",110.927505,264,1.953402,-149.84073,65.909949,0
"7",1,"60-2-D-SAPU","60-2","SAPU",84,NA,16,7,26,2,1,NA,0.076923077,0.038461538,NA,"Moose","Hare",NA,1,1432.670461,"West","20F","Low Shrub","Low Shrub","Silt Loam","Mesic",0,110.927505,264,1.953402,-149.84073,65.909949,1,2,60,1432.7,"West","20F",8,5,4,4,NA,NA,2,NA,101.6,NA,7.88,"Low Shrub","Low Betula nana-Low Willow","Low Shrub","Silt Loam","Mesic",110.927505,264,1.953402,-149.84073,65.909949,0
"8",1,"60-3-A-BENA","60-3","BENA",83,NA,8,11,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1403.187226,"West","20F","Low Shrub","Black Spruce Woodland","Silt Loam","Mesic",0,111.24585,78,1.323723,-149.840194,65.910114,1,3,60,1403.2,"West","20F",8,5,5,3,NA,NA,3,NA,98.6,NA,12.75,"Low Shrub","Low Betula nana-Low Willow","Black Spruce Woodland","Silt Loam","Mesic",111.24585,78,1.323723,-149.840194,65.910114,0
"9",1,"60-3-A-SAPU","60-3","SAPU",139,NA,17,32,54,2,2,NA,0.037037037,0.037037037,NA,"Moose","Hare",NA,1,1403.187226,"West","20F","Low Shrub","Black Spruce Woodland","Silt Loam","Mesic",0,111.24585,78,1.323723,-149.840194,65.910114,1,3,60,1403.2,"West","20F",8,5,5,3,NA,NA,3,NA,98.6,NA,12.75,"Low Shrub","Low Betula nana-Low Willow","Black Spruce Woodland","Silt Loam","Mesic",111.24585,78,1.323723,-149.840194,65.910114,0
"10",1,"60-3-B-SAPU","60-3","SAPU",81,NA,8,22,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1403.187226,"West","20F","Low Shrub","Black Spruce Woodland","Silt Loam","Mesic",0,111.24585,78,1.323723,-149.840194,65.910114,1,3,60,1403.2,"West","20F",8,5,5,3,NA,NA,3,NA,98.6,NA,12.75,"Low Shrub","Low Betula nana-Low Willow","Black Spruce Woodland","Silt Loam","Mesic",111.24585,78,1.323723,-149.840194,65.910114,0
"11",1,"60-3-D-BENA","60-3","BENA",101,NA,8,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1403.187226,"West","20F","Low Shrub","Black Spruce Woodland","Silt Loam","Mesic",0,111.24585,78,1.323723,-149.840194,65.910114,1,3,60,1403.2,"West","20F",8,5,5,3,NA,NA,3,NA,98.6,NA,12.75,"Low Shrub","Low Betula nana-Low Willow","Black Spruce Woodland","Silt Loam","Mesic",111.24585,78,1.323723,-149.840194,65.910114,0
"12",1,"60-4-A-BENA","60-4","BENA",92,NA,7,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1406.241796,"West","20F","Tall Shrub (Open-Closed)","Black Spruce Woodland","Silt Loam","Mesic",0,110.670654,252,1.181915,-149.840942,65.910317,1,4,60,1406.2,"West","20F",8,6,4,5,NA,NA,1,NA,84.5,NA,10.63,"Tall Shrub (Open-Closed)","Tall Shrub","Black Spruce Woodland","Silt Loam","Mesic",110.670654,252,1.181915,-149.840942,65.910317,0
"13",1,"60-4-A-SAPU","60-4","SAPU",88,NA,10,8,23,1,2,NA,0.043478261,0.086956522,NA,"Moose","Hare",NA,1,1406.241796,"West","20F","Tall Shrub (Open-Closed)","Black Spruce Woodland","Silt Loam","Mesic",0,110.670654,252,1.181915,-149.840942,65.910317,1,4,60,1406.2,"West","20F",8,6,4,5,NA,NA,1,NA,84.5,NA,10.63,"Tall Shrub (Open-Closed)","Tall Shrub","Black Spruce Woodland","Silt Loam","Mesic",110.670654,252,1.181915,-149.840942,65.910317,0
