"","Section","ShrubID","SiteID","Species","StemLength","VertHeight","StemDiameter","CanopyCover","MooseBrowse","HareBrowse","PtarmaginBrowse","TotalTwigs","PropMooseBrowse","PropHareBrowse","PropPtarmaginBrowse","BinaryBrowse","Dist_to_Road","Side_of_Road","GMU","GIS_Veg_Coarse","Observed_Veg","SoilTexture","SoilMoisture","LastBurn","Elevation","Aspect","Slope","X_Cord","Y_Cord"
"1",1,"60-1-B-BENA","60-1","BENA",129,NA,14,0,0,4,0,32,0,0.125,0,1,1438.56091,"West","20F","Low Shrub","Low Shrub-Tussock Tundra","Silt Loam","Mesic",0,110.943649,215,1.507567,-149.840126,65.909691
"2",1,"60-1-A-BENA","60-1","BENA",121,NA,11,3,0,2,0,23,0,0.086956522,0,1,1438.56091,"West","20F","Low Shrub","Low Shrub-Tussock Tundra","Silt Loam","Mesic",0,110.943649,215,1.507567,-149.840126,65.909691
"3",1,"60-1-B-SAPU","60-1","SAPU",98,NA,10,10,0,1,0,41,0,0.024390244,0,1,1438.56091,"West","20F","Low Shrub","Low Shrub-Tussock Tundra","Silt Loam","Mesic",0,110.943649,215,1.507567,-149.840126,65.909691
"4",1,"60-2-D-SAPU","60-2","SAPU",84,NA,16,7,2,1,0,26,0.076923077,0.038461538,0,1,1432.670461,"West","20F","Low Shrub","Low Shrub","Silt Loam","Mesic",0,110.927505,264,1.953402,-149.84073,65.909949
"5",1,"60-2-C-SAPU","60-2","SAPU",76,NA,8,17,3,0,0,12,0.25,0,0,1,1432.670461,"West","20F","Low Shrub","Low Shrub","Silt Loam","Mesic",0,110.927505,264,1.953402,-149.84073,65.909949
"6",1,"60-2-D-BENA","60-2","BENA",102,NA,7,0,0,0,0,18,0,0,0,0,1432.670461,"West","20F","Low Shrub","Low Shrub","Silt Loam","Mesic",0,110.927505,264,1.953402,-149.84073,65.909949
"7",1,"60-2-A-BENA","60-2","BENA",89,NA,9,0,0,0,0,10,0,0,0,0,1432.670461,"West","20F","Low Shrub","Low Shrub","Silt Loam","Mesic",0,110.927505,264,1.953402,-149.84073,65.909949
"8",1,"60-3-A-SAPU","60-3","SAPU",139,NA,17,32,2,2,0,54,0.037037037,0.037037037,0,1,1403.187226,"West","20F","Low Shrub","Black Spruce Woodland","Silt Loam","Mesic",0,111.24585,78,1.323723,-149.840194,65.910114
"9",1,"60-3-B-SAPU","60-3","SAPU",81,NA,8,22,0,0,0,16,0,0,0,0,1403.187226,"West","20F","Low Shrub","Black Spruce Woodland","Silt Loam","Mesic",0,111.24585,78,1.323723,-149.840194,65.910114
"10",1,"60-3-A-BENA","60-3","BENA",83,NA,8,11,0,0,0,15,0,0,0,0,1403.187226,"West","20F","Low Shrub","Black Spruce Woodland","Silt Loam","Mesic",0,111.24585,78,1.323723,-149.840194,65.910114
"11",1,"60-3-D-BENA","60-3","BENA",101,NA,8,0,0,0,0,12,0,0,0,0,1403.187226,"West","20F","Low Shrub","Black Spruce Woodland","Silt Loam","Mesic",0,111.24585,78,1.323723,-149.840194,65.910114
"12",1,"60-4-A-BENA","60-4","BENA",92,NA,7,13,0,0,0,13,0,0,0,0,1406.241796,"West","20F","Tall Shrub (Open-Closed)","Black Spruce Woodland","Silt Loam","Mesic",0,110.670654,252,1.181915,-149.840942,65.910317
"13",1,"60-4-B-BENA","60-4","BENA",95,NA,9,0,0,2,0,9,0,0.222222222,0,1,1406.241796,"West","20F","Tall Shrub (Open-Closed)","Black Spruce Woodland","Silt Loam","Mesic",0,110.670654,252,1.181915,-149.840942,65.910317
"14",1,"60-4-A-SAPU","60-4","SAPU",88,NA,10,8,1,2,0,23,0.043478261,0.086956522,0,1,1406.241796,"West","20F","Tall Shrub (Open-Closed)","Black Spruce Woodland","Silt Loam","Mesic",0,110.670654,252,1.181915,-149.840942,65.910317
"15",1,"60-4-D-SAPU","60-4","SAPU",103,NA,15,13,1,4,0,35,0.028571429,0.114285714,0,1,1406.241796,"West","20F","Tall Shrub (Open-Closed)","Black Spruce Woodland","Silt Loam","Mesic",0,110.670654,252,1.181915,-149.840942,65.910317
"16",2,"72-1-D-BENA","72-1","BENA",65,41,8,7,0,0,0,4,0,0,0,0,895.937772,"West","20F","Tussock Tundra (Low shrub or Herbaceous)","Black Spruce Woodland","Clay Loam","Mesic",0,130.808105,148,1.606934,-150.14017,66.022623
"17",2,"72-1-C-BENA","72-1","BENA",118,71,9,0,0,2,0,11,0,0.181818182,0,1,895.937772,"West","20F","Tussock Tundra (Low shrub or Herbaceous)","Black Spruce Woodland","Clay Loam","Mesic",0,130.808105,148,1.606934,-150.14017,66.022623
"18",2,"72-1-D-SAPU","72-1","SAPU",68,54,18,0,0,1,0,8,0,0.125,0,1,895.937772,"West","20F","Tussock Tundra (Low shrub or Herbaceous)","Black Spruce Woodland","Clay Loam","Mesic",0,130.808105,148,1.606934,-150.14017,66.022623
"19",2,"72-1-A-SAPU","72-1","SAPU",91,87,15,19,0,6,0,15,0,0.4,0,1,895.937772,"West","20F","Tussock Tundra (Low shrub or Herbaceous)","Black Spruce Woodland","Clay Loam","Mesic",0,130.808105,148,1.606934,-150.14017,66.022623
"20",2,"72-1-C-SAGL","72-1","SAGL",112,103,13,11,1,0,0,16,0.0625,0,0,1,895.937772,"West","20F","Tussock Tundra (Low shrub or Herbaceous)","Black Spruce Woodland","Clay Loam","Mesic",0,130.808105,148,1.606934,-150.14017,66.022623
"21",2,"72-2-A-BENA","72-2","BENA",121,72,12,21,0,0,0,14,0,0,0,0,855.94066,"West","20F","Tussock Tundra (Low shrub or Herbaceous)","Black Spruce Woodland","Clay Loam","Mesic",0,131.055786,179,2.125059,-150.13956,66.022889
"22",2,"72-2-B-BENA","72-2","BENA",104,67,9,0,0,1,0,5,0,0.2,0,1,855.94066,"West","20F","Tussock Tundra (Low shrub or Herbaceous)","Black Spruce Woodland","Clay Loam","Mesic",0,131.055786,179,2.125059,-150.13956,66.022889
