"(Intercept)"	"HareIndex"	"iem.summ.rain.10"	"iem.summ.temp"	"MooseDensity"	"HareIndex:iem.summ.temp"	"iem.summ.temp:MooseDensity"	"PropPtarmagin"	"PropHare"	"PropMoose"	"df"	"logLik"	"AICc"	"delta"	"weight"
"400"	0.288972241107627	-0.0149165908330601	0.0398626274256848	0.149907381865074	-0.202380516296653	0.0294985454515405	-0.0263431717719209	NA	NA	NA	10	-2962.00164807316	5944.08011178877	0	0.107478474178208
"464"	0.274619946618481	-0.0149213618958026	0.0402348241787577	0.151598339180738	-0.202481525041643	0.0295520271511967	-0.0264330616336946	3.33454302348421	NA	NA	11	-2961.07205121918	5944.23631340587	0.156201617103761	0.0994037439814334
"144"	0.286958776939774	-0.0154256638665711	0.0392336997932604	0.142871557648834	-0.18560508526513	0.0301880571128066	NA	NA	NA	NA	9	-2963.27546294942	5944.61375312397	0.533641335199718	0.0823081326319765
"208"	0.27264876196879	-0.0154325382103705	0.0396046347636104	0.144558487771605	-0.185656405053349	0.0302443240146099	NA	3.32216033031495	NA	NA	10	-2962.35534931394	5944.78751427033	0.707402481562895	0.0754589912572095
"416"	0.287354350873392	-0.0149271994908851	0.0398723037816258	0.149876016749547	-0.202386305651409	0.029494116069945	-0.026335179961585	NA	0.105012036783959	NA	11	-2961.99755308995	5946.08731714742	2.00720535865094	0.0393969305319553
"432"	0.289228623821841	-0.0149133419206843	0.0398639158829405	0.149919770992535	-0.202384001566553	0.0295005301698665	-0.0263454122805172	NA	NA	-0.0561386193022348	11	-2962.00141226438	5946.09503549628	2.01492370751203	0.0392451839016951
"480"	0.272717289535722	-0.0149339117074	0.0402473656555043	0.151563423778079	-0.202487558831099	0.0295467986555074	-0.0264232048527027	3.33744750817056	0.12266563504335	NA	12	-2961.06641900985	5946.24185269476	2.16174090598724	0.0364674519118859
"496"	0.274755740980204	-0.0149196375349786	0.0402354638294274	0.151604813891918	-0.202483366330077	0.0295530790981369	-0.0264342248807643	3.33434001894089	NA	-0.0295449071776613	12	-2961.07198541401	5946.25298550308	2.17287371430939	0.0362650232583545
"160"	0.285185258814171	-0.0154371471650087	0.0392453167181969	0.14284161907925	-0.185616401208266	0.0301829463607051	NA	NA	0.115149566980391	NA	10	-2963.27055345447	5946.6179225514	2.53781076263476	0.0302164115624512
"176"	0.287096299641185	-0.0154239460569017	0.0392343991621627	0.142878009655117	-0.185606175067776	0.0301891532585842	NA	NA	NA	-0.0301328505705146	10	-2963.275395222	5946.62760608645	2.54749429768344	0.030070464328651
"224"	0.270581188240857	-0.0154459970602995	0.039619575502545	0.144526495313621	-0.18566911226959	0.0302383420450702	NA	3.32544228736808	0.133302539332556	NA	11	-2962.34871799299	5946.78964695351	2.70953516473583	0.0277302258706063
"240"	0.272667016320576	-0.0154323096336261	0.0396047222138364	0.144559333695957	-0.185656550863602	0.0302444694979122	NA	3.32213361655852	NA	-0.00397480298343648	11	-2962.35534812665	5946.80290722081	2.72279543203967	0.0275469789140666
"271"	0.28996883049312	NA	0.042336805912077	0.142009589073769	-0.199293287172611	NA	-0.0284139066120637	NA	NA	NA	8	-2965.86251664687	5947.77527753658	3.69516574781028	0.0169405086173328
