"(Intercept)"	"HareIndex"	"iem.summ.rain.10"	"iem.summ.temp"	"MooseDensity"	"PropHare"	"PropMoose"	"PropPtarmagin"	"HareIndex:iem.summ.temp"	"iem.summ.temp:MooseDensity"	"df"	"logLik"	"AICc"	"delta"	"weight"
"112"	-0.0519085647639267	-0.0518114091929747	0.0417442463723058	0.269719199669626	-0.155833080939846	NA	1.37019740238075	0.936851227493165	NA	NA	10	-1690.50239384295	3401.13860763723	0	0.0600635582306516
"48"	0.0175409116084765	-0.0520415450977766	0.040230050770258	0.262187337273175	-0.156612238030874	NA	1.29888996101641	NA	NA	NA	9	-1691.53416618794	3401.17775486829	0.0391472310570862	0.0588993284975207
"240"	-0.052418272736577	-0.0521145651057131	0.0432966902102962	0.265428230388445	-0.154209117986891	NA	1.36325311744261	0.935059791111772	-0.0172439341203789	NA	11	-1689.88351184362	3401.9277053671	0.789097729871173	0.0404818789424421
"176"	0.0169271566916688	-0.0523456899553027	0.0417783321261763	0.257865032530931	-0.154985068671121	NA	1.29177953417752	NA	-0.017260044840363	NA	10	-1690.91413389731	3401.96208774596	0.823480108727381	0.0397918951074373
"16"	0.0964048837701977	-0.0519518747098354	0.0417886862446934	0.266575311832843	-0.156335999381561	NA	NA	NA	NA	NA	8	-1692.95521017192	3401.99790515551	0.859297518278254	0.0390856169455092
"128"	-0.095207285982982	-0.0516895047129517	0.0422019276757574	0.271137941036024	-0.156168386202988	0.909453202446838	1.45317105343054	1.01195335180593	NA	NA	11	-1690.05768517069	3402.27605202124	1.13744438400954	0.034010901765883
"80"	0.0369903250742012	-0.0517259132050966	0.0432350606273996	0.273755695485233	-0.155693778041425	NA	NA	0.855377220146457	NA	NA	9	-1692.10434293058	3402.31810835356	1.17950071632777	0.0333031819753287
"46"	0.0303994344442793	-0.0545139175741928	NA	0.203199546982525	-0.154664599919335	NA	1.35906347773381	NA	NA	NA	8	-1693.18381559995	3402.45511601157	1.31650837434427	0.0310981744538049
"64"	-0.0127973832678966	-0.0519576907804332	0.0404913457106533	0.262852904786479	-0.156931396953046	0.730081032944234	1.36187843355298	NA	NA	NA	10	-1691.24861940614	3402.63105876362	1.49245112638891	0.0284793066816831
"110"	-0.0343187005263187	-0.0543773834495848	NA	0.208154655625783	-0.15395659014028	NA	1.42828405708699	0.881176143216441	NA	NA	9	-1692.27200327247	3402.65342903733	1.51482140010239	0.0281625365997364
"144"	0.0953587722374753	-0.0522583445756966	0.0433480894492229	0.262210676361538	-0.154693386675114	NA	NA	NA	-0.0174191871978833	NA	9	-1692.32376761031	3402.75695771301	1.61835007578384	0.0267418102478781
